names,uri,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Put Your Records On,spotify:track:6AGOKlMZWLCaEJGnaROtF9,['Ritt Momney'],80,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463,4
Say So (Jax Jones Midnight Snack Remix),spotify:track:7qrO2oI0A9DW6wQPjSADxx,"['Doja Cat', 'Jax Jones']",59,0.798,0.51,11,-10.074,0,0.064,0.448,0.00312,0.094,0.401,121.923,210492,4
Freaks,spotify:track:7EkWXAI1wn8Ii883ecd9xr,['Surf Curse'],88,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062,4
ROCKSTAR (feat. Roddy Ricch),spotify:track:7ytR5pFWmSjzHJIeQkgog4,"['DaBaby', 'Roddy Ricch']",84,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4
deja vu,spotify:track:61KpQadow081I2AsbeLcsb,['Olivia Rodrigo'],62,0.439,0.61,9,-7.236,1,0.116,0.593,1.07e-05,0.341,0.172,181.088,215508,4
Breaking Me,spotify:track:3H7ihDc1dqLriiWXwsc2po,"['Topic', 'A7S']",83,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,166794,4
Easier - Seeb Remix,spotify:track:6GIRtKNXokeu25nn7U6Hu8,"['5 Seconds of Summer', 'Seeb']",61,0.564,0.747,5,-3.374,1,0.0584,0.0728,0.0,0.151,0.717,97.878,165767,4
Ride It - Jonas Blue Remix,spotify:track:2ONRkpOJ6X91GMXMthtT0M,"['Regard', 'Jonas Blue']",67,0.689,0.946,7,-3.814,0,0.0397,0.00658,0.00189,0.262,0.392,125.037,182400,4
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",spotify:track:6FuGJB290AQMAHTfjOYVaK,"['24kGoldn', 'Justin Bieber', 'J Balvin', 'iann dior']",75,0.721,0.745,7,-3.508,0,0.0366,0.151,1.24e-06,0.372,0.699,90.988,192745,4
Holiday - Frank Walker Remix,spotify:track:7o4KaZkEYqCieZyV03bdOk,"['Little Mix', 'Frank Walker']",0,0.556,0.751,5,-4.611,1,0.0419,0.106,0.0,0.307,0.359,113.922,204211,4
my ex's best friend (with blackbear),spotify:track:70rFIfYN7lU6iTgUIVP42w,"['Machine Gun Kelly', 'blackbear']",1,0.728,0.685,5,-5.096,0,0.0433,0.00391,0.0,0.152,0.33,124.934,138970,4
Take You Dancing - R3HAB Remix,spotify:track:6BBD4ORMmIXeOND3kFQ1IB,"['Jason Derulo', 'R3HAB']",56,0.776,0.861,2,-3.492,1,0.1,0.0497,3.22e-05,0.0535,0.914,122.027,175574,4
Rain On Me (with Ariana Grande),spotify:track:24ySl2hOPGCDcxBxFIqWBu,"['Lady Gaga', 'Ariana Grande']",78,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,182200,4
DÁKITI,spotify:track:47EiUVwUp4C9fGccaPuUCS,"['Bad Bunny', 'Jhay Cortez']",83,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4
WAP (feat. Megan Thee Stallion),spotify:track:4Oun2ylbjFKMPTiaSbbCih,"['Cardi B', 'Megan Thee Stallion']",83,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,187541,4
Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,['The Weeknd'],91,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
Hawái - Remix,spotify:track:0GzuHFG4Ql6DoyxFRnIk3F,"['Maluma', 'The Weeknd']",75,0.766,0.788,6,-3.128,0,0.312,0.105,5.81e-06,0.142,0.609,179.984,200482,4
Tick Tock (feat. 24kGoldn),spotify:track:27u7t9d7ZQoyjsCROHuZJ3,"['Clean Bandit', 'Mabel', '24kGoldn']",77,0.779,0.705,0,-3.895,1,0.0344,0.369,7.91e-06,0.124,0.946,101.022,178374,4
Lemonade,spotify:track:02kDW379Yfd5PzW5A6vuGt,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",80,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04,195429,4
Roses - Imanbek Remix,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,"['SAINt JHN', 'Imanbek']",83,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840,4
Lose Somebody,spotify:track:1sgDyuLooyvEML4oHspNza,"['Kygo', 'OneRepublic']",75,0.58,0.586,1,-6.883,1,0.0357,0.344,0.0,0.0755,0.507,147.988,199549,4
